text,label
"Rumor spreads that wearing black clothes attracts lightning during storms.",fake
"Local charity distributes blankets to homeless families during winter.",real
"Video online claims drinking vinegar every morning melts body fat instantly.",fake
"Electric bus fleet introduced to reduce pollution in urban centers.",real
"Fake report claims moonlight causes temporary blindness if stared at for long.",fake
"College students build low-cost robot for assisting senior citizens.",real
"Message falsely warns that deodorants contain micro-explosives activated by heat.",fake
"Government increases pension benefits for retired employees.",real
"Hoax claims WiFi routers steal oxygen from rooms when switched on.",fake
"Startup launches affordable water testing kit for households.",real
"Fake post claims drinking milk after mango can cause poisoning.",fake
"National park sees rise in tiger population due to conservation efforts.",real
"Rumor says touching smartphone after 10 PM disrupts brain waves permanently.",fake
"Railways upgrade ticketing system to reduce waiting times.",real
"False viral claim says sunlight between 12–1 PM damages the spine.",fake
"Technicians install new flood warning system across vulnerable districts.",real
"Hoax message claims mosquitoes released by drones spread new diseases.",fake
"Medical researchers publish study on early detection of heart diseases.",real
"Fake news claims chewing chewing-gum daily reduces brain size.",fake
"District introduces new recycling program to reduce plastic waste.",real
"Viral myth says lemon juice can erase fingerprints instantly.",fake
"Airport expands domestic terminal to handle more passengers.",real
"Fake report suggests birds are disappearing due to '5G radiation storms'.",fake
"University establishes AI lab for student-led research projects.",real
"Rumor claims cold drinks mixed with milk form deadly toxins.",fake
"Farmers receive government aid after heavy rainfall damages crops.",real
"Hoax says gold jewelry will melt under moonlight during upcoming lunar eclipse.",fake
"Art festival attracts thousands of visitors showcasing local talent.",real
"Message claims gas cylinders explode if placed near WiFi routers.",fake
"NGO builds community kitchen to provide meals for migrant workers.",real
"Fake article says scientists invented a pill that lets people stay awake for weeks safely.",fake
"Electricity board upgrades transformers to prevent power cuts.",real
"Rumor claims mirrors reflect harmful radiation during thunderstorms.",fake
"City conducts awareness drive on road safety rules.",real
"Fake message says drinking cold milk at night causes 'blood thickening'.",fake
"Government increases forest area under protection zone.",real
"False viral claim suggests petrol mixed with detergent boosts mileage.",fake
"New research facility opens to study renewable energy technologies.",real
"Hoax spreads saying onions soak up viruses if placed in corners of homes.",fake
"Transport department launches mobile app for real-time bus tracking.",real
"Fake rumor claims people can charge phones by rubbing them on hair due to static electricity.",fake
"Scientists identify new plant species in Himalayan regions.",real
"Post claims walking backwards for five minutes boosts memory by 300%.",fake
"School introduces mental health counseling sessions for students.",real
"Fake article says drinking one cup of bleach can treat infections.",fake
"City constructs new storm-water drain system to prevent flooding.",real
"Rumor says airplanes drop sleeping gas to control population on busy days.",fake
"Team of engineers develops low-energy water desalination unit.",real
"Fake warning claims reading digital screens for more than 30 minutes leads to instant migraines.",fake
"Farmers' cooperative opens organic vegetable market in town.",real
"Hoax says new ₹10 coins are fake and cannot be used in banks.",fake
"Government launches tree plantation initiative along highways.",real
"Fake post claims that tapping your phone three times reveals hidden government tracking apps.",fake
"Local scientists develop biodegradable packaging material.",real
"Rumor says boiling potatoes twice turns them poisonous.",fake
"City council approves construction of new sports stadium.",real
"Fake meme claims celebrities have been replaced by AI clones.",fake
"Community health workers receive training for digital health records.",real
"Hoax claims coconut water dissolves kidney stones instantly.",fake
"National museum announces exhibition on ancient Indian inventions.",real
"Fake message warns that using metal spoons in curry releases dangerous radiation.",fake
"Technical institute offers free summer courses in robotics for students.",real
"Rumor spreads that a giant snake was found inside underground metro tunnels.",fake
"Hydropower project reaches milestone in clean energy output.",real
"Fake video claims toothpaste can heal burns in seconds.",fake
"Public library gets funding to expand reading spaces for children.",real
"False report says vaccinated people glow under UV light.",fake
"Engineers repair and reinforce old bridge after structural assessment.",real
"Viral claim says staring at a mirror at midnight attracts negative energy.",fake
"New school sports program improves physical fitness among students.",real
"Fake message claims that eating watermelon seeds causes appendix burst.",fake
"Government approves plan for renewable-powered street lights.",real
"Rumor says that train coaches are secretly filled with cameras in every seat.",fake
"City launches zero-waste challenge for residential communities.",real
"Hoax claims listening to loud music can permanently change face shape.",fake
"College installs rainfall harvesting system to promote sustainability.",real
"Fake post says WhatsApp will charge monthly fees unless users forward a message.",fake
"Research team develops AI tool to detect crop diseases early.",real
"Rumor says plastic rice is being mixed with imported grains.",fake
"Hospital introduces telemedicine services for remote patients.",real
"Hoax claims walking barefoot on tiles reduces lung capacity.",fake
"State government opens new wildlife rescue center for injured animals.",real
"Fake message says drinking coffee with curd causes 'internal freezing'.",fake
"Young entrepreneurs create startup offering solar-powered backpacks.",real
"Rumor says wearing sunglasses indoors lowers immunity.",fake
"National science fair sees over 10,000 student projects displayed.",real
"Fake news claims moon will appear green due to 'planetary alignment'.",fake
"Regional transport upgrades safety systems on major highways.",real
"Hoax claims potatoes absorb mobile radiation if kept near phones.",fake
"Town installs new water purification plant benefiting thousands.",real
"Social media rumor says hair oil brands secretly add plasticizers.",fake
"University sets up research scholarship for innovative ideas.",real
"Fake post claims India will ban all smartphones by 2027.",fake
"Hospital starts awareness drive on diabetes prevention.",real
"Rumor says microwave ovens destroy 90% of nutrients and cause memory loss.",fake
"Local administration opens early flood shelters before monsoon.",real
"Fake message claims turmeric mixed with cola can cure bone fractures.",fake
"State launches campaign to promote STEM education among girls.",real
"Hoax says touching currency notes without gloves spreads deadly viruses.",fake
"City initiates smart-lighting system to save electricity.",real
"Rumor claims new ₹500 notes have embedded GPS trackers.",fake
"NGO opens free tutoring center for underprivileged children.",real
"False claim spreads that drinking sugar water improves eyesight instantly.",fake
"Research institute announces breakthrough in battery storage technology.",real
